epi_week,date,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
202,2022-01-12,SP,Campinas/SP,3509502,1,4635,102,118199,378.913,9662.805,0.039
202,2022-01-13,SP,Campinas/SP,3509502,2,4637,151,118350,379.076,9675.149,0.039
202,2022-01-14,SP,Campinas/SP,3509502,4,4641,361,118711,379.403,9704.661,0.039
202,2022-01-15,SP,Campinas/SP,3509502,0,4641,6,118717,379.403,9705.151,0.039
203,2022-01-16,SP,Campinas/SP,3509502,0,4641,11,118728,379.403,9706.050,0.039
203,2022-01-17,SP,Campinas/SP,3509502,0,4641,2,118730,379.403,9706.214,0.039
203,2022-01-18,SP,Campinas/SP,3509502,4,4645,327,119057,379.730,9732.946,0.039
203,2022-01-19,SP,Campinas/SP,3509502,2,4647,346,119403,379.894,9761.232,0.039
203,2022-01-20,SP,Campinas/SP,3509502,8,4655,465,119868,380.548,9799.246,0.039
203,2022-01-21,SP,Campinas/SP,3509502,3,4658,317,120185,380.793,9825.161,0.039
203,2022-01-22,SP,Campinas/SP,3509502,0,4658,0,120185,380.793,9825.161,0.039
204,2022-01-23,SP,Campinas/SP,3509502,6,4664,377,120562,381.283,9855.980,0.039
204,2022-01-24,SP,Campinas/SP,3509502,1,4665,34,120596,381.365,9858.760,0.039
204,2022-01-25,SP,Campinas/SP,3509502,3,4668,417,121013,381.610,9892.850,0.039
204,2022-01-26,SP,Campinas/SP,3509502,3,4671,207,121220,381.856,9909.772,0.039
204,2022-01-27,SP,Campinas/SP,3509502,8,4679,146,121366,382.510,9921.708,0.039
204,2022-01-28,SP,Campinas/SP,3509502,7,4686,244,121610,383.082,9941.655,0.039
204,2022-01-29,SP,Campinas/SP,3509502,11,4697,209,121819,383.981,9958.741,0.039
205,2022-01-30,SP,Campinas/SP,3509502,1,4698,1281,123100,384.063,10063.463,0.038
205,2022-01-31,SP,Campinas/SP,3509502,0,4698,0,123100,384.063,10063.463,0.038
205,2022-02-01,SP,Campinas/SP,3509502,12,4710,649,123749,385.044,10116.519,0.038
205,2022-02-02,SP,Campinas/SP,3509502,13,4723,45,123794,386.107,10120.197,0.038
205,2022-02-03,SP,Campinas/SP,3509502,12,4735,2101,125895,387.088,10291.955,0.038
205,2022-02-04,SP,Campinas/SP,3509502,0,4735,0,125895,387.088,10291.955,0.038
205,2022-02-05,SP,Campinas/SP,3509502,22,4757,1135,127030,388.886,10384.741,0.037
206,2022-02-06,SP,Campinas/SP,3509502,2,4759,13,127043,389.050,10385.804,0.037
206,2022-02-07,SP,Campinas/SP,3509502,0,4759,19,127062,389.050,10387.357,0.037
206,2022-02-08,SP,Campinas/SP,3509502,22,4781,460,127522,390.848,10424.963,0.037
206,2022-02-09,SP,Campinas/SP,3509502,20,4801,150,127672,392.483,10437.225,0.038
206,2022-02-10,SP,Campinas/SP,3509502,13,4814,93,127765,393.546,10444.828,0.038
206,2022-02-11,SP,Campinas/SP,3509502,17,4831,366,128131,394.936,10474.749,0.038
206,2022-02-12,SP,Campinas/SP,3509502,17,4848,290,128421,396.325,10498.456,0.038
207,2022-02-13,SP,Campinas/SP,3509502,4,4852,95,128516,396.652,10506.222,0.038
207,2022-02-14,SP,Campinas/SP,3509502,0,4852,14,128530,396.652,10507.367,0.038
207,2022-02-15,SP,Campinas/SP,3509502,14,4866,294,128824,397.797,10531.402,0.038
207,2022-02-16,SP,Campinas/SP,3509502,5,4871,675,129499,398.206,10586.583,0.038
207,2022-02-17,SP,Campinas/SP,3509502,6,4877,635,130134,398.696,10638.494,0.037
207,2022-02-18,SP,Campinas/SP,3509502,3,4880,167,130301,398.941,10652.147,0.037
207,2022-02-19,SP,Campinas/SP,3509502,6,4886,463,130764,399.432,10689.997,0.037
208,2022-02-20,SP,Campinas/SP,3509502,1,4887,38,130802,399.514,10693.104,0.037
208,2022-02-21,SP,Campinas/SP,3509502,0,4887,1,130803,399.514,10693.185,0.037
208,2022-02-22,SP,Campinas/SP,3509502,7,4894,290,131093,400.086,10716.893,0.037
208,2022-02-23,SP,Campinas/SP,3509502,12,4906,304,131397,401.067,10741.745,0.037
208,2022-02-24,SP,Campinas/SP,3509502,6,4912,250,131647,401.558,10762.183,0.037
208,2022-02-25,SP,Campinas/SP,3509502,5,4917,125,131772,401.966,10772.401,0.037
208,2022-02-26,SP,Campinas/SP,3509502,18,4935,132,131904,403.438,10783.192,0.037
209,2022-02-27,SP,Campinas/SP,3509502,0,4935,7,131911,403.438,10783.765,0.037
209,2022-02-28,SP,Campinas/SP,3509502,0,4935,1,131912,403.438,10783.846,0.037
209,2022-03-01,SP,Campinas/SP,3509502,1,4936,11,131923,403.520,10784.746,0.037
209,2022-03-02,SP,Campinas/SP,3509502,0,4936,4,131927,403.520,10785.073,0.037
209,2022-03-03,SP,Campinas/SP,3509502,10,4946,84,132011,404.337,10791.940,0.037
209,2022-03-04,SP,Campinas/SP,3509502,9,4955,417,132428,405.073,10826.030,0.037
209,2022-03-05,SP,Campinas/SP,3509502,2,4957,189,132617,405.236,10841.480,0.037
210,2022-03-06,SP,Campinas/SP,3509502,0,4957,14,132631,405.236,10842.625,0.037
210,2022-03-07,SP,Campinas/SP,3509502,0,4957,8,132639,405.236,10843.279,0.037
210,2022-03-08,SP,Campinas/SP,3509502,7,4964,118,132757,405.809,10852.925,0.037
210,2022-03-09,SP,Campinas/SP,3509502,6,4970,96,132853,406.299,10860.774,0.037
210,2022-03-10,SP,Campinas/SP,3509502,5,4975,130,132983,406.708,10871.401,0.037
210,2022-03-11,SP,Campinas/SP,3509502,0,4975,699,133682,406.708,10928.545,0.037
210,2022-03-12,SP,Campinas/SP,3509502,5,4980,818,134500,407.117,10995.416,0.037
211,2022-03-13,SP,Campinas/SP,3509502,0,4980,1315,135815,407.117,11102.918,0.037
211,2022-03-14,SP,Campinas/SP,3509502,5,4985,469,136284,407.525,11141.259,0.037
211,2022-03-15,SP,Campinas/SP,3509502,1,4986,1616,137900,407.607,11273.367,0.036
211,2022-03-16,SP,Campinas/SP,3509502,8,4994,791,138691,408.261,11338.032,0.036
211,2022-03-17,SP,Campinas/SP,3509502,-1,4993,1086,139777,408.179,11426.813,0
211,2022-03-18,SP,Campinas/SP,3509502,4,4997,1077,140854,408.506,11514.858,0.035
211,2022-03-19,SP,Campinas/SP,3509502,3,5000,977,141831,408.752,11594.728,0.035
212,2022-03-20,SP,Campinas/SP,3509502,0,5000,1703,143534,408.752,11733.949,0.035
212,2022-03-21,SP,Campinas/SP,3509502,0,5000,259,143793,408.752,11755.122,0.035
212,2022-03-22,SP,Campinas/SP,3509502,1,5001,1444,145237,408.833,11873.169,0.034
212,2022-03-23,SP,Campinas/SP,3509502,6,5007,1164,146401,409.324,11968.327,0.034
212,2022-03-24,SP,Campinas/SP,3509502,2,5009,1024,147425,409.487,12052.039,0.034
212,2022-03-25,SP,Campinas/SP,3509502,4,5013,928,148353,409.814,12127.903,0.034
212,2022-03-26,SP,Campinas/SP,3509502,1,5014,1124,149477,409.896,12219.791,0.034
213,2022-03-27,SP,Campinas/SP,3509502,0,5014,40,149517,409.896,12223.061,0.034
